materials backflow_percent inlet_D angle inlet_V Density Viscosity
319 54.917622 1.4 0.5585 134.8 0.00106 0.004
320 46.432144 1.4 0.5585 101.6 0.00106 0.004
321 15.478844 1.4 0.5585 68.4 0.00106 0.004
322 69.377091 1.4 0.6283 500.0 0.00106 0.004
323 69.137045 1.4 0.6283 466.8 0.00106 0.004
324 68.850761 1.4 0.6283 433.6 0.00106 0.004
325 68.520913 1.4 0.6283 400.4 0.00106 0.004
326 68.040903 1.4 0.6283 367.2000000000001 0.00106 0.004
327 67.705673 1.4 0.6283 334.0 0.00106 0.004
328 67.117221 1.4 0.6283 300.8 0.00106 0.004
329 66.474382 1.4 0.6283 267.6 0.00106 0.004
330 65.630035 1.4 0.6283 234.4 0.00106 0.004
331 64.494941 1.4 0.6283 201.2 0.00106 0.004
332 63.081267 1.4 0.6283 168.0 0.00106 0.004
333 60.35247 1.4 0.6283 134.8 0.00106 0.004
334 54.739397 1.4 0.6283 101.6 0.00106 0.004
335 26.860981 1.4 0.6283 68.4 0.00106 0.004
336 73.772573 1.4 0.6981 500.0 0.00106 0.004
337 73.47331 1.4 0.6981 466.8 0.00106 0.004
338 73.193944 1.4 0.6981 433.6 0.00106 0.004
339 72.853173 1.4 0.6981 400.4 0.00106 0.004
340 72.541469 1.4 0.6981 367.2000000000001 0.00106 0.004
341 72.082481 1.4 0.6981 334.0 0.00106 0.004
342 71.556578 1.4 0.6981 300.8 0.00106 0.004
343 70.970443 1.4 0.6981 267.6 0.00106 0.004
344 70.132797 1.4 0.6981 234.4 0.00106 0.004
345 69.169287 1.4 0.6981 201.2 0.00106 0.004
346 68.05537 1.4 0.6981 168.0 0.00106 0.004
347 65.979765 1.4 0.6981 134.8 0.00106 0.004
348 61.720679 1.4 0.6981 101.6 0.00106 0.004
349 42.385898 1.4 0.6981 68.4 0.00106 0.004
350 77.226025 1.4 0.7679 500.0 0.00106 0.004
351 76.953202 1.4 0.7679 466.8 0.00106 0.004
352 76.707017 1.4 0.7679 433.6 0.00106 0.004
353 76.395878 1.4 0.7679 400.4 0.00106 0.004
